row,url,address,name,latitude,longitude,food
55,https://www.zomato.com/indore/the-urban-gumti-2-vijay-nagar,"312, Krishna Bagh Colony, Indore, Madhya Pradesh, Vijay Nagar, Indore",The Urban Gumti,22.75943,75.88601,"Burgers,Pizza,Maggi,Salad,Pasta,Tea,Chai"
56,https://www.zomato.com/indore/sweet-truth-old-palasia,"UG 8, Amar Darshan Building, Saket Square, Kharjana Main Road, Old Palasia, Indore",Sweet Truth,40.71973,-111.83444,
57,https://www.zomato.com/indore/kitchen-craft-vijay-nagar,"203 DH, Scheme 74C, Behind Apollo Hospital, Vijay Nagar, Indore",Kitchen Craft,0,0,
58,https://www.zomato.com/indore/firangi-bake-old-palasia,"8, Amar Darshan Building, Saket Square, Old Palasia, Indore",Firangi Bake,40.71973,-111.83444,Lasagne
59,https://www.zomato.com/indore/cream-stone-new-palasia,"4 NM, Tower 1, New Palasia, Indore",Cream Stone,40.71973,-111.83444,"Waffles,Hot Chocolate Fudge,Nutella Brownie,Thick Shakes"
60,https://www.zomato.com/indore/dr-d-khajrana,Delivery Only,Dr. D,43.6347,-73.85111,"Sandwich,Thick Cold Coffee"
61,https://www.zomato.com/indore/forever-bhukkad-com-2-hig-lig,"1534/20, Nanda Nagar, HIG-LIG, Indore",Forever Bhukkad.com,22.74862,75.87452,
62,https://www.zomato.com/indore/goldy-di-hatti-vijay-nagar,"BCM Heights, LG-5, Vijay Nagar, Indore",Goldy Di Hatti,22.76039,75.88642,"Butter Chicken,Fish Tikka,Hyderabadi Biryani,Amritsari Paneer Tikka,Chicken Dum Biryani,Chicken Tikka,Raita"
63,https://www.zomato.com/indore/a1-rotiwala-hig-lig,"E /82 B, Near Shefali Jain Hospital, LIG Colony, HIG- LIG, Indore",A1 Rotiwala,22.73357,75.89018,
64,https://www.zomato.com/indore/the-good-bowl-vijay-nagar,"Shop 24, Mangle City Mall, Sch 54, A B Road, Vijay Nagar, Indore",The Good Bowl,40.71973,-111.83444,
65,https://www.zomato.com/indore/foc-24-new-palasia,"23/2 C, New Palasia, Indore",FOC 24,40.71973,-111.83444,
66,https://www.zomato.com/indore/crayons-cafe-old-palasia,"Shop 146 & 147, Upper Ground 6, Near Tempo Stand, Tilak Nagar, Old Palasia, Indore",Crayons Cafe,50.905888,-4.521695,"Oreo Shake,Pasta"
67,https://www.zomato.com/indore/the-belgian-waffle-co-old-palasia,"22, Ground Floor, Anand Bazar, Opposite Lions Gym, Khajrana, Indore",The Belgian Waffle Co.,22.717519,75.87934,"Nutella Waffle,Triple Chocolate,Belgian Chocolate Waffle,Belgian Waffles"
68,https://www.zomato.com/indore/sat-guru-kripa-khajrana,"Swran Bagh Colony, Ring Road, Near Khajrana, Indore",Sat Guru Kripa,22.74872,75.84634,
