link,address,name
https://www.zomato.com/indore/cool-uncle-ice-cream-lounge-cafe-vijay-nagar,"G1, Ankur Place, Scheme 54, Vijay Nagar, Indore",Cool Uncle Ice Cream Lounge & Cafe
https://www.zomato.com/indore/pind-balluchi-vijay-nagar,"RH 13, Sector A, Scheme 54, Vijay Nagar, Indore",Pind Balluchi
https://www.zomato.com/indore/dominos-pizza-vijay-nagar,"32, Ground Floor, Prime House, Meghdoot Road, Sayaji Circle, Vijay Nagar, Indore",Domino's Pizza
https://www.zomato.com/indore/linkbite-vijay-nagar,"203 DH, Scheme 74 C, Behind Apollo Hospital, Vijay Nagar, Indore",Linkbite
https://www.zomato.com/indore/mughals-vijay-nagar,"RH 110, Slice 1, Scheme 78, Behind Medicure Medical, Vijay Nagar, Indore",Mughal's
https://www.zomato.com/indore/prakash-dhaba-vijay-nagar,"66-67, Niranjanpur, A.B. Road, Dewas Naka, Vijay Nagar, Indore",Prakash Dhaba
https://www.zomato.com/indore/grub-shop-south-tukoganj,"4th Floor, Shivam Complex, South Tukoganj, Indore",Grub Shop
https://www.zomato.com/indore/kukdu-kuu-club-vijay-nagar,"Upper Ground-7A, BCM Heights, Vijay Nagar, Indore",Kukdu Kuu Club
https://www.zomato.com/indore/the-eyry-2-new-palasia,"Ground Floor Narayan Kothi, Zanzeerwala Square 18, R S Bhandari Marg, New Palasia, Indore",The Eyry
https://www.zomato.com/indore/appu-restaurant-1-vijay-nagar,"Ganga Devi Nagar, Vijay Nagar, Indore",APPU Restaurant
https://www.zomato.com/indore/foodles-old-palasia,"G-3, Regal Tower 45, Baikunthdham Colony, Anand Bazar Road, Old Palasia, Indore",Foodles
https://www.zomato.com/indore/cafe-yolo-old-palasia,"LG 6-7-8 Navneet Plaza, Palasia, Indore",Cafe Yolo
https://www.zomato.com/indore/red-chilli-restaurant-mr-10-road,"111, Shyam Nagar, Infront Of Mount Caramel School, Sukhliya, MR 10 Road, Indore",Red Chilli Restaurant
https://www.zomato.com/indore/night-food-stand-new-palasia,"56 Dukan, New Palasia, Indore",Night Food Stand
https://www.zomato.com/indore/waff-up-by-foobae-khajrana,"Patrakar Colony, Saket, Khajrana, Indore",Waff Up! by Foobae
https://www.zomato.com/indore/the-cooks-door-vijay-nagar,"Plot 136, Scheme 78, Part 2, Near Ana Convent School, Vijay Nagar, Indore",The Cooks Door
https://www.zomato.com/indore/bamboo-tree-the-boutique-restaurant-vijay-nagar,"165/A, Tulsi Nagar, Vijay Nagar, Indore",Bamboo Tree The Boutique Restaurant
https://www.zomato.com/indore/anytime-khanewala-khajrana,"57, Ground Floor, Swarnbagh Colony, Khajrana, Indore",Anytime Khanewala
https://www.zomato.com/indore/nema-kulfi-faluda-old-palasia,"20, Nagar Nigam Market, Old Palasia, Indore",Nema Kulfi Faluda
https://www.zomato.com/indore/dilli-darbar-new-palasia,"590, MG Road, Near New Palasia Masjid, Indore",Dilli Darbar
https://www.zomato.com/indore/kwality-walls-humty-dumty-new-palasia,"Shop 1, 56 Dukaan, New Palasia, Indore",Kwality Wall's Humty Dumty
https://www.zomato.com/indore/nawabi-kitchen-hig-lig,Delivery Only,Nawabi Kitchen
https://www.zomato.com/indore/the-riffing-cult-vijay-nagar,"226 & 227, 3rd Floor, PU 4, Brij Laxmi Building, Vijay Nagar, Indore",The Riffing Cult
https://www.zomato.com/indore/london-bubble-co-1-new-palasia,"G/6A, Bhakatgarh Tower, New Palasia, Indore",London Bubble Co.
https://www.zomato.com/indore/the-nest-old-palasia,"77, Ground Floor 1, Silver Spot Building, Bima Nagar, Old Palasia, Indore",The Nest
https://www.zomato.com/indore/hakuna-matata-cafe-vijay-nagar,"Scheme 74, 35-DF, Near Bapat Hospital, Vijay Nagar, Indore",Hakuna Matata Cafe
https://www.zomato.com/indore/agent-jacks-bar-vijay-nagar,"Shop 3 & 4, 4th Floor, Laceup, Scheme 54, Satya Sai Square, Vijay Nagar, Indore",Agent Jack's Bar
https://www.zomato.com/indore/sky-blue-sports-bar-vijay-nagar,"C21 Mall, 3rd Floor, AB Road, Vijay Nagar, Indore",Sky Blue Sports Bar
https://www.zomato.com/indore/shivratn-vijay-nagar,"1st Floor, Benchmark Building, Opposite Gujarati School, Vijay Nagar, Indore",Shivratn
https://www.zomato.com/indore/shrinath-restaurant-vijay-nagar,"Opposite Bombay Hospital, Near Union Bank, Service Road Vijay Nagar",Shrinath Restaurant
https://www.zomato.com/indore/veg-bites-old-palasia,"Saket Nagar, Old Palasia, Indore",Veg Bites
https://www.zomato.com/indore/99-thaliwala-hig-lig,"09, 738/9, Nehru Nagar, Opposite Kanha Sarkar Chat Chopati, HIG-LIG, Indore",99 Thaliwala
https://www.zomato.com/indore/chat-palace-new-palasia,"41, 56 Dukan, Udasi Ashram Palasia, Indore",Chat Palace
